ID,BookName,Publisher,Author,Price
167,Gece Nöbeti,The Kitap,K. Eason,"109,85"
168,Distopyaya Yolculuk,Epsilon Yayınevi,Kolektif,"77,03"
169,Re-Terraform,Elpis Yayınları,Volkan Çakır,"65,72"
170,Angeliki ile Mehmet - 2 Bu Böyle Yarım Kalmayacak,Epsilon Yayınevi,Yasemin Özek,"129,03"
171,Ateş Ve Gül,Gülnar Yayınları,Kazım Saatçı,"105,00"
172,Yıkımın Çağrısı - Özgürlük ve Barış Olasılığı 1,Sinada Kitap,Mehmet Alp Buhurcu,"73,70"
173,Cadılar Meclisi,Epsilon Yayınevi,Lizzie Fry,"129,03"
174,Başlat - Ready Player Two,Dex Yayınevi,Ernest Cline,"83,85"
175,Kronmatron X,Perseus,Manolya Besant,"107,40"
176,Lanetli Kasaba,Payidar Genç,Kübra Kar,"36,00"
177,Şaşkın Robot Norby,İthaki Çocuk Yayınları,Janet Asimov,"48,75"
178,From the Earth to the Moon,Fark Yayınları,Jules Verne,"44,20"
179,“Dışarıdan” Gelen Şey,Laputa Kitap,George Allen England,"48,75"
180,Umarım Mesajımı Alırsın,Epsilon Yayınevi,Farah Naz Rishi,"109,53"
181,Ölümcül Gerçek,Epsilon Yayınevi,Jessica Barry,"109,53"
182,5 Saniyede Venüs’e,Fihrist Kitap,Fred T. Jane,"45,18"
183,John Carter V: Mars Satrancı,Fihrist Kitap,Edgar Rice Burroughs,"77,68"
184,Neptün Müzakereleri,İthaki Yayınları,Murat Boyner,"50,05"
185,Gama,Elpis Yayınları,Bora Deniz Kurban,"51,35"
186,Değişim,Gürer Yayınları,Pelin Başkurt,"25,90"
187,Abba - Ay Büyürken,Arte Yayınları,Sibel Özkızıklı,"40,00"
188,Tanrı Fabrikası,Nota Bene Yayınları,Karel Capek,"82,50"
189,Ötekinin Keşfi,Fihrist Kitap,Ella Merchant,"54,93"
190,Karmaşık Bir Nezaket,Kafka Kitap,Miriam Toews,"90,03"
191,İlow I - Yeni Bir Alem,İmla Yayıncılık,Bahattin Seven,"45,50"
192,Geçmiş Günlerimiz,Hyperion Kitap,Cristin Terrill,"28,50"
193,Boyuttakiler,Korkut Yayınları,Erdinç Aymergen,"104,00"
194,3888 Nuh`un Son Yolcuları,A7 Kitap,Gülriz Aygül,"52,00"
195,Woodwalker’lar,İstek Yayınları,Katja Brandis,"67,50"
196,İstanbul Öyküleri 3 - Bilimkurgu,İBB Yayınları (Kültür A.Ş.),Ademhan Esen,"189,00"
197,Ulak,Beyaz Fil Yayınları,Özgün Çınar,"28,00"
198,Thuvia Marslı Kız,BilgeSu Yayıncılık,Edgar Rice Burroughs,"45,50"
199,Andromeda Evrimi,Nemesis Kitap,Michael Crichton,"70,85"
200,Blade Runner 2019 Volume 2,Epsilon Yayınevi,Michael Green,"129,03"
201,Edna Günlükleri,Epsilon Yayınevi,Aygül Mudurlu,"109,53"
202,Tuhaf John,Fihrist Kitap,Olaf Stapledon,"71,18"
203,Kayıp Oyuncakc¸ı`nın Pes¸inde,Perseus,Oytun Demir,"41,40"
204,İkiz Kod,Eksik Parça Yayınları,Margit Ruile,"66,50"
